序号,日语词汇,假名,词性,陌生程度,翻译,
1572,気まずい,きまずい,形容詞,9,尴尬,
1573,沈黙,ちんもく,名詞/サ变,9,沉默,
1574,途中,とちゅう,名詞,9,中途,
1575,途方,とほう,名詞,9,办法,
1576,途方に暮れる,とほうにくれる,慣用句,9,走投无路,
1577,遂げる,とげる,他動詞,9,实现，完成,
1578,獣医,じゅうい,名詞,9,兽医,
1579,獣,けもの,名詞,9,野兽,
1580,果たす,はたす,他動詞,9,实现,
1581,叶う,かなう,自動詞,9,实现,
1582,やり遂げる,やりとげる,他動詞,9,完成,
1583,なり遂げる,なりとげる,他動詞,9,达成,
1584,途絶える,とだえる,自動詞,9,中断，断绝,
1585,足取り,あしどり,名詞,9,踪迹,
1586,途切れる,とぎれる,自動詞,9,间断,
1587,とっさに,とっさに,副詞,9,猛然，立刻,
1588,瞬間,しゅんかん,名詞,9,瞬间,
1589,すぐに,すぐに,副詞,9,马上,
1590,あっという間に,あっというまに,副词句,9,眨眼间,
1591,突如,とつじょ,副詞,9,突然,
1592,如実,にょじつ,形容動詞,9,如实,
1593,突然,とつぜん,副詞/形容動詞,9,突然,
1594,いきなり,いきなり,副詞,9,突然,
1595,不意,ふい,名詞/形容動詞,9,突然,
1596,俄に,にわかに,副詞,9,突然,
1597,忽ち,たちまち,副詞,9,立刻,
1598,滞る,とどこおる,自動詞,9,堵塞；延迟,
1599,留まる,とどまる,自動詞,9,留住,
1600,渋滞,じゅうたい,名詞/サ变,9,堵塞,
1601,スムーズ,すむーず,形容動詞,9,顺利,
1602,順調,じゅんちょう,形容動詞,9,顺利,
1603,進む,すすすむ,自動詞,9,进展,
1604,整える,ととのえる,他動詞,9,整理；达成,
1605,整う,ととのう,自動詞,9,整齐,
1606,ちゃんと,ちゃんと,副詞/サ变,9,好好地,
1607,整備,せいび,名詞/サ变,9,整修,
1608,備える,そなえる,他動詞,9,防备,
1609,唱える,となえる,他動詞,9,提倡，主张,
1610,主張,しゅちょう,名詞/サ变,9,主张,
1611,提唱,ていしょう,名詞/サ变,9,提倡,
1612,覆す,くつがえす,他動詞,9,推翻,
1613,煽る,あおる,他動詞,9,煽动,
1614,煽てる,おだてる,他動詞,9,怂恿,
1615,惚ける,とぼける,自動詞,9,装糊涂,
1616,滑稽,こっけい,形容動詞,9,滑稽,
1617,乏しい,とぼしい,形容詞,9,缺乏,
1618,蓄える,たくわえる,他動詞,9,储备,
1619,貯まる,たまる,自動詞,9,积攒,
1620,足りない,たりない,形容詞,9,不够,
1621,ささやか,ささやか,形容動詞,9,微薄,
1622,欠ける,かける,自動詞,9,缺少,
1623,欠乏,けつぼう,名詞/サ变,9,缺乏,
1624,貧乏,びんぼう,名詞/形容動詞/サ变,9,贫穷,
1625,贫しい,まずしい,形容詞,9,贫苦,
1626,とりあえず,とりあえず,副詞,9,暂时，姑且,
1627,しばらく,しばらく,副詞,9,暂时,
1628,まず,まず,副詞,9,首先,
1629,ひとまず,ひとまず,副詞,9,暂且,
1630,一応,いちおう,副詞,9,暂且,
1631,とにかく,とにかく,副詞,9,总之,
1632,一旦,いったん,副詞,9,一旦,
1633,取り分け,とりわけ,副詞,9,尤其，特别,
1634,際立つ,きわだつ,自動詞,9,显著,
1635,手際,てぎわ,名詞,9,手法,
1636,腕前,うでまえ,名詞,9,本领,
1637,注目,ちゅうもく,名詞/サ变,9,注目,
1638,目立つ,めだつ,自動詞,9,显眼,
1639,显著,けんちょ,形容動詞,9,显著,
1640,著しい,いちじるしい,形容詞,9,显著,
1641,引き立つ,ひきたつ,自動詞,9,衬托,
1642,殊に,ことに,副詞,9,格外的,
1643,特に,とくに,副詞,9,特别,
1644,格別,かくべつ,副詞/形容動詞,9,格外,
1645,格段,かくだん,副詞/形容動詞,9,格外,
1646,殊更,ことさら,副詞/形容動詞,9,特意,
1647,蕩ける,とろける,自動詞,9,溶化；陶醉,
1648,溶ける,とける,自動詞,9,溶化,
1649,うっとり,うっとり,副詞/サ变,9,陶醉,
1650,心を奪われる,こころをうばわれる,動詞句,9,夺人心魄,
1651,度忘れ,どわすれ,名詞/サ变,9,一时想不起来,
1652,恥,はじ,名詞,9,羞耻,
1653,落ち度,おちど,名詞,9,过失,
1654,过ち,あやまち,名詞,9,过错,
1655,とんだ,とんだ,連体詞,9,意外的，严重的,
1656,死なす,しなす,他動詞,9,使死亡,
1657,思いもよらない,おもいもよらない,形容詞句,9,意想不到,
1658,思いがけない,おもいがけない,形容詞,9,意想不到,
1659,意外,いがい,名詞/形容動詞,9,意外,
1660,案外,あんがい,副詞/形容動詞,9,意想不到,
1661,重大,じゅうだい,形容動詞,9,重大,
1662,とんでもない,とんでもない,形容詞,9,出乎意料,
1663,どんより,どんより,副詞/サ变,9,阴沉，浑浊,
1664,乃至,ないし,接続詞,9,或者；到，至,
1665,または,または,接続詞,9,或者,
1666,あるいは,あるいは,接続詞,9,或者,
1667,もしくは,もしくは,接続詞,9,或者,
1668,か,か,助詞,9,或者,
1669,内緒,ないしょ,名詞,9,瞒着，秘密,
1670,破る,やぶる,他動詞,9,打破（规章、制度、纪录等）,
1671,秘密,ひみつ,名詞,9,秘密,
1672,尚更,なおさら,副詞,9,更加，越发,
1673,更に,さらに,副詞,9,进一步，而且,
1674,益々,ますます,副詞,9,更加，益发,
1675,一層,いっそう,副詞,9,越发，更,
1676,一段と,いちだんと,副詞,9,更加，越发,
1677,前にして,まえにして,連語,9,在……之前,
1678,いっそ,いっそ,副詞/名詞,9,索性，干脆，倒不如,
1679,嘆く,なげく,他動詞,9,叹息，叹惋,
1680,嘆息,たんそく,名詞/サ変,9,叹息,
1681,溜息,ためいき,名詞,9,叹气,
1682,悲しく思う,かなしくおもう,動詞句,9,感到悲哀,
1683,投げる,なげる,他動詞,9,投，扔；抛弃,
1684,投げ出す,なげだす,他動詞,9,放弃，抛弃,
1685,放る,ほうる,他動詞,9,扔，放弃；置之不理,
1686,諦める,あきらめる,他動詞,9,放弃，死心,
1687,放棄,ほうき,名詞/サ変,9,放弃,
1688,断念,だんねん,名詞/サ変,9,断念，死心,
1689,～出す,だす,接尾辞,9,表示动作的开始或向外,
1690,言い出す,いいだす,他動詞,9,说出来,
1691,追い出す,おいだす,他動詞,9,赶出去，驱逐,
1692,思い出す,おもいだす,他動詞,9,想起，回忆起,
1693,差し出す,さしだす,他動詞,9,交出，递给，交给,
1694,和やか,なごやか,形容動詞,9,（氛围）和谐,
1695,和む,なごむ,自動詞,9,平静，缓和，温和,
1696,調和,ちょうわ,名詞/サ変,9,协调，和谐,
1697,穏やか,おだやか,形容動詞,9,平稳，温和，平静,
1698,和らぐ,やわらぐ,自動詞,9,缓和，减轻，平静,
1699,名残り,なごり,名詞,9,残余；惜别，依恋,
1700,残る,のこる,自動詞,9,残余，剩余,
1701,余る,あまる,自動詞,9,剩余,
1702,別れを惜しむ,わかれをおしむ,動詞句,9,惜别，恋恋不舍,
1703,未練,みれん,名詞/形容動詞,9,留恋，眷恋,
1704,未練がある,みれんがある,動詞句,9,留恋，依依不舍,
1705,情け,なさけ,名詞,9,同情，慈悲；爱情；情义,
1706,縋る,すがる,自動詞,9,依靠，依赖，求助于,
1707,容赦,ようしゃ,名詞/サ変,9,宽恕，原谅，留情,
1708,許す,ゆるす,他動詞,9,允许，宽恕,
1709,思いやり,おもいやり,名詞,9,体贴，关心，体谅,
1710,心遣い,こころづかい,名詞,9,关怀，体贴，关心,
1711,同情,どうじょう,名詞/サ変,9,同情,
1712,労り,いたわり,名詞,9,同情，体恤，怜恤,
1713,愛情,あいじょう,名詞,9,爱情,
1714,恋,こい,名詞,9,恋爱,
1715,人情,にんじょう,名詞,9,人情,
1716,情けない,なさけない,形容詞,9,令人遗憾的；可怜的；可耻的,
1717,惨め,みじめ,形容動詞,9,惨，悲惨,
1718,惜しい,おしい,形容詞,9,可惜,
1719,無念,むねん,名詞/形容動詞,9,遗憾，懊悔,
1720,浅ましい,あさましい,形容詞,9,卑鄙，可耻,
1721,卑しい,いやしい,形容詞,9,卑鄙的，可耻的,
1722,馴染め,なじめ,名詞,9,熟悉，熟人,
1723,虐め・苛め,いじめ,名詞,9,欺负,
1724,滲みる・染みる,しみる,自動詞,9,渗透，沁透，染,
1725,情け深い,なさけぶかい,形容詞,9,仁慈，富有同情心,
1726,詰る,なじる,他動詞,9,责问，责备,
1727,詰める,つめる,他動詞,9,阻塞，塞满,
1728,詰まる,つまる,自動詞,9,塞，阻塞,
1729,携わる,たずさわる,自動詞,9,参与，从事,
1730,携える,たずさえる,他動詞,9,携带,
1731,覆す,くつがえす,他動詞,9,推翻，颠覆，改变,
1732,覆う,おおう,他動詞,9,盖，覆盖,
1733,馴染む,なじむ,自動詞,9,习惯，适应，融入,
1734,过失,かしつ,名詞,9,过失,
1735,不満,ふまん,名詞/形容動詞,9,不满意，不满,
1736,過ち,あやまち,名詞,9,过错，错误,
1737,咎める,とがめる,自他動詞,9,责备；盘问；发炎,
1738,責める,せめる,他動詞,9,责备,
1739,詰問,きつもん,名詞/サ変,9,诘问,
1740,問い詰める,といつめる,他動詞,9,责问，盘问,
1741,名高い,なだかい,形容詞,9,有名，著名,
1742,有名,ゆうめい,形容動詞,9,有名,
1743,著名,ちょめい,形容動詞,9,著名,
1744,評判,ひょうばん,名詞,9,评价，名声,
1745,宛名,あてな,名詞,9,收件人姓名,
1746,宛先,あてさき,名詞,9,收件人地址,
1747,懐く,なつく,自動詞,9,接近，喜欢,
1748,懐かしい,なつかしい,形容詞,9,怀念，思慕,
1749,親しむ,したしむ,自動詞,9,亲近，亲密,
1750,慕う,したう,他動詞,9,倾慕，爱慕，追随,
1751,好意を持つ,こういをもつ,動詞句,9,有好感,
1752,懐,ふところ,名詞,9,怀抱；内心；经济状况；腰包,
1753,何気ない,なにげない,形容詞,9,无意，无心；若无其事,
1754,席につく,せきにつく,動詞句,9,就坐,
1755,さりげない,さりげない,形容詞,9,不经意，若无其事，不露声色,
1756,何卒,なにとぞ,副詞,9,请，务必,
1757,どうか,どうか,副詞,9,请,
1758,どうぞ,どうぞ,副詞,9,请,
1759,何分,なにぶん,副詞,9,请；终归；由于,
1760,何より,なより,副詞,9,最好不过，最好；最,
1761,一番,いちばん,名詞/副詞,9,第一，最好,
1762,最も,もっとも,副詞,9,最,
1763,生臭い,なまぐさい,形容詞,9,腥，膻,
1764,焦げ臭い,こげくさい,形容詞,9,烤焦的味道,
1765,土臭い,つちくさい,形容詞,9,土腥味；土里土气,
1766,面倒くさい,めんどうくさい,形容詞,9,非常麻烦,
1767,生ぬるい,なまぬるい,形容詞,9,微暖；不太彻底，不太严格,
1768,真夏,まなつ,名詞,9,盛夏,
1769,温い,ぬるい,形容詞,9,微温；态度温和,
1770,生身,なまみ,名詞,9,肉体，肉身,
1771,興じる,きょうじる,自動詞,9,兴致勃勃，感到有趣，享受,
1772,舐める,なめる,他動詞,9,舔；轻视，小看；尝受,
1773,舐めてかかる,なめてかかる,動詞句,9,轻敌，不当回事去做,
1774,覚める,さめる,自動詞,9,醒来，醒悟,
1775,冷める,さめる,自動詞,9,变凉，冷淡,
1776,見下げる,みさげる,他動詞,9,轻视，小看，蔑视,
1777,見下ろす,みおろす,他動詞,9,俯瞰，看不起,
1778,侮る,あなどる,他動詞,9,侮辱，小看，蔑视,
1779,バカにする,ばかにする,動詞句,9,把别人当傻子，小看别人,
1780,経験する,けいけんする,サ変,9,体验，经历,
1781,味わう,あじわう,他動詞,9,品尝，鉴赏；体验好的事情,
1782,並びに,ならびに,接続詞,9,以及,
1783,裁判官,さいばんかん,名詞,9,法官,
1784,検事,けんじ,名詞,9,检察官,
1785,弁護士,べんごし,名詞,9,律师,
1786,判断,はんだん,名詞/サ変,9,判断,
1787,裁判,さいばん,名詞/サ変,9,裁判,
1788,評判,ひょうばん,名詞,9,出名，好评,
1789,審判,しんぱん,名詞/サ変,9,审判；比赛裁判,
1790,と,と,助詞,9,和,
1791,及び,および,接続詞,9,以及,
1792,且つ,かつ,接続詞,9,以及，且,
1793,それに,それに,接続詞,9,而且,
1794,しかも,しかも,接続詞,9,而且,
1795,そして,そして,接続詞,9,而且,
1796,馴れ馴れしい,なれなれしい,形容詞,9,过分亲昵,
1797,馴れる,なれる,自動詞,9,驯熟，习惯，熟练,
1798,無遠慮,むえんりょ,名詞/形容動詞,9,不客气，随便,
1799,堂々,どうどう,形容動詞/副詞,9,堂堂正正,
1800,似通う,にかよう,自動詞,9,相似，类似,
1801,似る,にる,自動詞,9,相似，相像,
1802,通う,かよう,自動詞,9,通勤；通过,
1803,似合う,にあう,自動詞,9,合适，相称,
1804,相応しい,ふさわしい,形容詞,9,适合的，相称的,
1805,賑わう,にぎわう,自動詞,9,热闹，繁华,
1806,賑やか,にぎやか,形容動詞,9,热闹,
1807,人出が多い,ひとでおおい,句,9,外出的人群多，热闹,
1808,雑踏,ざっとう,名詞/サ変,9,杂沓，拥挤,
1809,繁盛,はんじょう,名詞/サ変,9,繁荣,
1810,豊か,ゆたか,形容動詞,9,丰富，丰裕,
1811,栄える,さかえる,自動詞,9,繁荣，兴旺,
1812,盛,さかり,名詞,9,旺盛，繁荣昌盛,
1813,盛る,さかる,自動詞,9,繁荣昌盛,
1814,盛る,もる,他動詞,9,盛东西，堆积,
1815,盛大,せいだい,名詞/形容動詞,9,盛大,
1816,滲む,にじむ,自動詞,9,渗透；反映出,
1817,染みる,しみる,自動詞,9,染上，渗，沁透,
1818,伪物・伪者,にせもの,名詞,9,假货；假冒者,
1819,本物,ほんもの,名詞,9,真货，真品,
1820,偽造,ぎぞう,名詞/サ変,9,伪造,
1821,伪る,いつわる,他動詞,9,伪装，欺骗,
1822,労る,いたわる,他動詞,9,体贴，照顾，安慰,
1823,伝わる,つたわる,自動詞,9,流传，传达,
1824,担う,になう,他動詞,9,肩负，担负,
1825,背負う,せおう,他動詞,9,背负,
1826,負担,ふたん,名詞/サ変,9,负担,
1827,担ぐ,かつぐ,他動詞,9,抗，抬,
1828,人情,にんじょう,名詞,9,人情,
1829,頼り,たより,名詞,9,依赖，消息,
1830,頼る,たよる,自動詞,9,依靠，依赖,
1831,頼む,たのむ,他動詞,9,拜托，请求,
1832,頼もしい,たのもしい,形容詞,9,可信赖的,
1833,依頼,いらい,名詞/サ変,9,委托，拜托，请求,
1834,人间,にんげん,名詞,9,人类,
1835,犯人,はんにん,名詞,9,犯人,
1836,病人,びょうにん,名詞,9,病人,
1837,晴雨,せいう,名詞,9,晴雨,
1838,晴天,せいてん,名詞,9,晴天,
1839,冷静,れいせい,名詞/形容動詞,9,冷静,
1840,情け,なさけ,名詞,9,同情，慈悲；情义,
1841,抜け出す,ぬけだす,自動詞,9,摆脱,
1842,局面,きょくめん,名詞,9,局面,
1843,逃れる,のがれる,自動詞,9,逃脱，逃离,
1844,切り抜ける,きりぬける,他動詞,9,突破，摆脱,
1845,乗り越える,のりこえる,他動詞,9,克服，超越，跨越,
1846,音,ね,名詞,9,叫苦；音乐；声音,
1847,音,おと,名詞,9,声音,
1848,音色,ねいろ,名詞,9,音色,
1849,音乐,おんがく,名詞,9,音乐,
1850,色,しき,名詞,9,色彩,
1851,景色,けしき,名詞,9,景色,
1852,色彩,しきさい,名詞,9,色彩,
1853,特色,とくしょく,名詞,9,特色,
1854,値打ち,ねうち,名詞,9,价值,
1855,価値,かち,名詞,9,价值,
1856,値段,ねだん,名詞,9,价格,
1857,値,あたい,名詞,9,价值,
1858,捻れる,ねじれる,自動詞,9,物体弯曲，扭歪；乖僻,
1859,釘,くぎ,名詞,9,钉子,
1860,螺,ねじ,名詞,9,螺丝,
1861,曲がる,まがる,自動詞,9,弯曲，歪,
1862,歪む,ゆがむ,自動詞,9,歪，歪曲,
1863,屈折,くっせつ,名詞/サ変,9,屈折；弯曲,
1864,くねる,くねる,自動詞,9,弯曲；性格乖僻,
1865,拗れる,こじれる,自動詞,9,恶化，复杂；别扭,
1866,妬む,ねたむ,他動詞,9,嫉妒,
1867,嫌がる,いやがる,他動詞,9,讨厌，不愿意,
1868,嫉妬,しっと,名詞/サ変,9,嫉妒,
1869,羨む,うらやむ,他動詞,9,羡慕,
1870,羨ましい,うらやましい,形容詞,9,羡慕,
1871,妬む,ねたむ,他動詞,9,嫉妒,
1872,恨む,うらむ,他動詞,9,恨,
1873,憎む,にくむ,他動詞,9,憎恨,
1874,強請る,ねだる,他動詞,9,死乞白赖的要求,
1875,無理に頼む,むりにたのむ,動詞句,9,强行请求,
1876,値引き,ねびき,名詞/サ変,9,降价，减价,
1877,値下げ,ねさげ,名詞/サ変,9,降价,
1878,安価,あんか,名詞/形容動詞,9,便宜,
1879,割引,わりびき,名詞/サ変,9,折扣,
1880,値上げ,ねあげ,名詞/サ変,9,提价,
1881,根回し,ねまわし,名詞/サ変,9,事前说明，打下基础,
1882,すんなり,すんなり,副詞,9,顺利，顺利地,
1883,顺调に,じゅんちょうに,副詞句,9,顺利地,
1884,手回し,てまわし,名詞/サ変,9,准备，布置，安排,
1885,手配,てはい,名詞/サ変,9,安排，部署,
1886,根気,こんき,名詞,9,耐心，耐性,
1887,根性,こんじょう,名詞,9,根性，本性,
1888,垣根,かきね,名詞,9,围墙，栅栏,
1889,屋根,やね,名詞,9,房顶，屋顶,
1890,練る,ねる,他動詞,9,搅拌，揉；锻炼；斟酌,
1891,粉,こな,名詞,9,粉，粉末,
1892,胆力,たんりょく,名詞,9,胆量,
1893,構想,こうそう,名詞,9,构思,
1894,混ぜる,まぜる,他動詞,9,混合，搅拌,
1895,掻き回す,かきまわす,他動詞,9,搅拌,
1896,混じる,まじる,自動詞,9,夹杂,
1897,鍛える,きたえる,他動詞,9,磨练，锤炼,
1898,磨く,みがく,他動詞,9,磨练，锤炼,
1899,思考,しこう,名詞/サ変,9,思考,
1900,考える,かんがえる,他動詞,9,想，思考,
1901,納入,のうにゅう,名詞/サ変,9,缴纳，交纳,
1902,納品,のうひん,名詞/サ変,9,交货,
1903,納得,なっとく,名詞/サ変,9,领会，理解,
1904,納める,おさめる,他動詞,9,交纳，缴纳,
1905,収める,おさめる,他動詞,9,收取，平定,
1906,修める,おさめる,他動詞,9,修学分，修学业,
1907,治める,おさめる,他動詞,9,治理国家,
1908,進入,しんにゅう,名詞/サ変,9,进入,
1909,進出,しんしゅつ,名詞/サ変,9,进入（社会等）,
1910,逃す,のがす,他動詞,9,放过，错过,
1911,見逃す,みのがす,他動詞,9,错过，放过，忽视,
1912,容赦,ようしゃ,名詞/サ変,9,宽恕，留情,
1913,許す,ゆるす,他動詞,9,允许，宽恕,
1914,逃れる,のがれる,自動詞,9,逃避，摆脱,
1915,進路,しんろ,名詞,9,去向，进路,
1916,逃げる,にげる,自動詞,9,逃跑；逃避,
1917,軒並み,のきなみ,名詞/副詞,9,一律,
1918,軒,のき,名詞,9,房屋，屋檐,
1919,～軒,けん,助数詞,9,~家，~栋,
1920,月並み,つきなみ,形容動詞,9,平庸，普通的,
1921,人並み,ひとなみ,名詞/形容動詞,9,平凡的，普通的,
1922,手並み,てなみ,名詞,9,本领，技能，本事,
1923,望ましい,のぞましい,形容詞,9,令人期待的，最理想的,
1924,事前,じぜん,名詞,9,事先,
1925,予め,あらかじめ,副詞,9,事先,
1926,前もって,まえもって,副詞,9,事先,
1927,募る,つのる,自他動詞,9,招募，募集；加剧,
1928,望む,のぞむ,他動詞,9,期望，希望,
1929,好ましい,このましい,形容詞,9,可喜的，令人满意的,
1930,臨む,のぞむ,自動詞,9,面对，参加,
1931,面する,めんする,自動詞,9,面对,
1932,参加,さんか,名詞/サ変,9,参加,
1933,携わる,たずさわる,自動詞,9,参与，从事,
1934,寸前,すんぜん,名詞,9,即将，眼看就要,
1935,長閑,のどか,形容動詞,9,和暖；悠闲，宁静,
1936,穏やか,おだやか,形容動詞,9,稳和，平静,
1937,のんびり,のんびり,副詞/サ変,9,悠闲，自在,
1938,落ち着く,おちつく,自動詞,9,平静，安定,
1939,罵る,ののしる,他動詞,9,谩骂，咒骂,
1940,悪口,わるくち,名詞,9,坏话,
1941,怒鳴る,どなる,自他動詞,9,怒吼，大声喊,
1942,叱る,しかる,他動詞,9,呵斥，责备,
1943,把握,はあく,名詞/サ変,9,掌握,
1944,あまりに,あまりに,副詞,9,过于，非常,
1945,握手,あくしゅ,名詞,9,握手,
1946,理解,りかい,名詞/サ変,9,理解,
1947,背景,はいけい,名詞,9,背景,
1948,背後,はいご,名詞,9,背后，幕后,
1949,ちらつく,ちらつく,自動詞,9,若隐若现,
1950,ちらりと,ちらりと,副詞,9,一闪一过,
1951,ちらっと,ちらっと,副詞,9,一晃而过,
1952,ちらちら,ちらちら,副詞/サ変,9,闪烁不定,
1953,拝借,はいしゃく,名詞/サ変,9,借（自谦）,
1954,恩恵,おんけい,名詞,9,恩惠,
1955,恵まれる,めぐまれる,自動詞,9,富有，恩赐,
1956,拝見,はいけん,名詞/サ変,9,看（自谦）,
1957,拝読,はいどく,名詞/サ変,9,读（自谦）,
1958,借金,しゃっきん,名詞/サ変,9,借钱,
1959,謝金,しゃきん,名詞,9,酬金,
1960,配分,はいぶん,名詞/サ変,9,分配,
1961,相続人,そうぞくにん,名詞,9,继承人,
1962,紹介,しょうかい,名詞/サ変,9,介绍,
1963,平和,へいわ,名詞/形容動詞,9,和平,
1964,段階,だんかい,名詞,9,阶段,
1965,遺言,ゆいごん,名詞/サ変,9,遗言,
1966,受け継ぐ,うけつぐ,他動詞,9,继承,
1967,踏襲,とうしゅう,名詞/サ変,9,沿袭,
1968,配る,くばる,他動詞,9,分发,
1969,分ける,わける,他動詞,9,区分,
1970,配列,はいれつ,名詞/サ変,9,排列,
1971,並べる,ならべる,他動詞,9,摆放,
1972,連ねる,つらねる,他動詞,9,列举，连接,
1973,陳列,ちんれつ,名詞/サ変,9,陈列,
1974,捗る,はかどる,自動詞,9,进展顺利,
1975,円滑,えんかつ,名詞/形容動詞,9,顺利,
1976,順調,じゅんちょう,名詞/形容動詞,9,顺利,
1977,スムーズ,すむーず,形容動詞,9,流畅,
1978,儚い,はかない,形容詞,9,短暂的，虚幻的,
1979,虚しい,むなしい,形容詞,9,空虚,
1980,虚ろ,うつろ,名詞/形容動詞,9,空洞,
1981,短い,みじかい,形容詞,9,短,
1982,味気ない,あじけない,形容詞,9,无聊,
1983,あっけない,あっけない,形容詞,9,太简单，不尽兴,
1984,あどけない,あどけない,形容詞,9,天真无邪,
1985,幼い,おさない,形容詞,9,幼小,
1986,だらしない,だらしない,形容詞,9,邋遢,
1987,剥ぐ,はぐ,他動詞,9,扒下，剥下；剥夺,
1988,身ぐるみ,みぐるみ,名詞,9,全身衣服,
1989,去る,さる,自他動詞,9,离开,
1990,持ち去る,もちさる,他動詞,9,带走,
1991,取り除く,とりのぞく,他動詞,9,去除,
1992,脱がす,ぬがす,他動詞,9,使脱下,
1993,奪う,うばう,他動詞,9,夺,
1994,取り上げる,とりあげる,他動詞,9,采纳；没收,
1995,剥げる,はげる,自動詞,9,剥落,
1996,褪せる,あせる,自動詞,9,褪色,
1997,迫害,はくがい,名詞/サ変,9,迫害,
1998,贯く,つらぬく,他動詞,9,贯彻,
1999,白状,はくじょう,名詞/サ変,9,坦白，招认,
2000,告白,こくはく,名詞/サ変,9,告白,
2001,打ち明ける,うちあける,他動詞,9,坦率说出,
2002,明かす,あかす,他動詞,9,揭露,
2003,隠す,かくす,他動詞,9,隐藏,
2004,漠然,ばくぜん,形容動詞,9,含糊，模糊,
2005,沙漠,さばく,名詞,9,沙漠,
2006,莫大,ばくだい,名詞/形容動詞,9,莫大,
2007,曖昧,あいまい,名詞/形容動詞,9,暧昧,
2008,あやふや,あやふや,形容動詞,9,含糊,
2009,はっきりしない,はっきりしない,動詞句,9,不清楚,
2010,不明確,ふめいかく,名詞/形容動詞,9,不明确,
2011,依然,いぜん,副詞,9,依然,
2012,呆然,ぼうぜん,副詞/サ変/形容動詞,9,发呆,
2013,茫然,ぼうぜん,副詞/サ変/形容動詞,9,茫然,
2014,励ます,はげます,他動詞,9,激励，鼓励,
2015,激励,げきれい,名詞/サ変,9,激励,
2016,力づける,ちからづける,他動詞,9,鼓励,
2017,応援,おうえん,名詞/サ変,9,助威,
2018,励む,はげむ,自動詞,9,努力,
2019,努める,つとめる,自動詞,9,努力,
2020,精出す,せいだす,自動詞,9,努力,
2021,最善を尽くす,さいぜんをつくす,動詞句,9,尽最大努力,
2022,怠る,おこたる,他動詞,9,懈怠,
2023,怠ける,なまける,自他動詞,9,偷懒,
2024,弾く,はじく,他動詞,9,防，抗；弹开,
2025,防ぐ,ふせぐ,他動詞,9,防御,
2026,弾ける,はじける,自動詞,9,弹开,
2027,恥じらう,はじらう,自動詞,9,害羞,
2028,恥,はじ,名詞,9,耻辱,
2029,照れくさい,てれくさい,形容詞,9,难为情,
2030,きまり悪い,きまりわるい,形容詞,9,不好意思,
2031,恥じる,はじる,自動詞,9,惭愧，羞愧,
2032,恥をかく,はじをかく,動詞句,9,丢脸,
2033,面目ない,めんぼくない,形容詞,9,没脸见人,
2034,破廉恥,はれんち,名詞/形容動詞,9,无耻,
2035,橋渡し,はしわたし,名詞/サ変,9,搭桥，中间人,
2036,仲介,ちゅうかい,名詞/サ変,9,仲介,
2037,渡す,わたす,他動詞,9,交给,
2038,渡る,わたる,自動詞,9,渡,
2039,弾む,はずむ,自動詞,9,情绪高涨；跳，蹦,
2040,破損,はそん,名詞/サ変,9,破损，损坏,
2041,破片,はへん,名詞,9,碎片,
2042,損失,そんしつ,名詞/サ変,9,损失,
2043,損得,そんとく,名詞,9,得失,
2044,破る,やぶる,他動詞,9,弄破,
2045,破れる・敗れる,やぶれる,自動詞,9,破裂；失败,
2046,損なう,そこなう,他動詞,9,损坏,
2047,壊れる,こわれる,自動詞,9,坏,
2048,割れる,われる,自動詞,9,碎,
2049,発生,はっせい,名詞/サ変,9,发生,
2050,生じる,しょうじる,自他動詞,9,产生,
2051,発刊,はっかん,名詞/サ変,9,创刊,
2052,発掘,はっくつ,名詞/サ変,9,发掘,
2053,発行,はっこう,名詞/サ変,9,发行,
2054,发达,はったつ,名詞/サ変,9,发达,
2055,発売,はつばい,名詞/サ変,9,发售,
2056,初耳,はつみみ,名詞,9,初次听到,
2057,初恋,はつこい,名詞,9,初恋,
2058,初詣,はつもうで,名詞/サ変,9,初诣,
2059,初日の出,はつひので,名詞,9,元旦日出,
2060,果て,はて,名詞,9,边际，尽头,
2061,冒険,ぼうけん,名詞/サ変,9,冒险,
2062,果てしない,はてしない,形容詞,9,无边无际,
2063,果たす,はたす,他動詞,9,发挥，实现,
2064,ばてる,ばてる,自動詞,9,疲乏，精疲力竭,
2065,疲れる,つかれる,自動詞,9,疲劳,
2066,草臥れる,くたびれる,自動詞,9,疲劳,
2067,くたくた,くたくた,形容動詞/副詞,9,筋疲力尽,
2068,甚だ,はなはだ,副詞,9,太，非常,
2069,とても,とても,副詞,9,非常,
2070,かなり,かなり,副詞/形容動詞,9,颇,
2071,極めて,きわめて,副詞,9,极其,
2072,極,ごく,副詞,9,极,
2073,誠に,まことに,副詞,9,诚,
2074,いかにも,いかにも,副詞,9,果然,
2075,至って,いたって,副詞,9,非常,
2076,甚だしい,はなはだしい,形容詞,9,很，甚,
2077,華々しい,はなばなしい,形容詞,9,华丽，轰轰烈烈,
2078,見事,みごと,名詞/形容動詞,9,精彩,
2079,立派,りっぱ,名詞/形容動詞,9,出色,
2080,目覚ましい,めざましい,形容詞,9,惊人,
2081,目立つ,めだつ,自動詞,9,引人注目,
2082,華やか,はなやか,形容動詞,9,华丽,
2083,派手やか,はでやか,形容動詞,9,华丽,
2084,阻む,はばむ,他動詞,9,阻碍，阻拦,
2085,割れ目,われめ,名詞,9,裂缝,
2086,妨げる,さまたげる,他動詞,9,妨碍,
